Breach ID:,Responsible Party,Type,Keywords or Phrases I,Malicious Intent,Accidental Human Error,Keywords or Phrases II,PHI,Recovery Actions,Preventive Actions,Follow-up Actions
818,The CE,Theft,stolen desktops,5,2,"theft is malicious, also unencrypted","Names, dates, or physical addresses, Phone numbers, Social Security Numbers, Financial information (e.g. credit card number), Clinical information (e.g. medical records), Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to the media, improved security","Physical safeguards improvement: workstations with ePHI, Physical safeguards improvement: workstations with PHI documents, Physical safeguards improvement: limited physical access to workstations, Physical safeguards improvement: encryption of physical documents, Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures, Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: encryption of ePHI or devices with ePHI, Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures","Hire/organize a team to ensure compliance, Upgrades of current systems, Assurance to OCR of the corrective actions, risk analysis plan"
818,The CE,Theft,"thieves, broke into, stole",5,1,unencrypted desktop computers,"Names, dates, or physical addresses, Phone numbers, Social Security Numbers, Clinical information (e.g. medical records), Other identification information (e.g., patient account number), health plan enrollment information, health care claim information","Notification: to affected individuals, Notification: to HHS, Notification: to the media","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures, Technical safeguards improvement: encryption of ePHI or devices with ePHI, Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Upgrades of current systems, Assurance to OCR of the corrective actions, Comprehensive security audit for other improper uses or vulnerbalities"
818,Thieves,Theft,Stole,5,1,Broke into stole,"Names, dates, or physical addresses, Phone numbers, Social Security Numbers, Clinical information (e.g. medical records), Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to the media","Physical safeguards improvement: limited physical access to workstations, Physical safeguards improvement: encryption of physical documents",Upgrades of current systems
861,Employee(s) of the CE,Unauthorized Access/Disclosure,"""personally-owned server on the network containing ePHI""",1,5,"""attempt to deactivate a personally-owned server on the network containing ePHI""","Clinical information (e.g. medical records), Other identification information (e.g., patient account number)","Notification: to HHS, Notification: to law enforcement, Investigation: hire lawyers, Investigation: (hire third parties for) risk analysis, Retraining or memorandum to corresponding staff (existing policies/procedures)","Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Upgrades of current systems, Assurance to OCR of the corrective actions"
861,The CE,Hacking/IT Incident,lack of technical safeguards ... accessible on the internet,1,5,"accessible, failed to secure",Clinical information (e.g. medical records),"Investigation: (hire third parties for) security investigation, Investigation: (hire third parties for) risk analysis","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Assurance to OCR of the corrective actions, Comprehensive security audit for other improper uses or vulnerbalities"
861,"The CE, 2 CE's","Hacking/IT Incident, Unauthorized Access/Disclosure","physician employed ... attempted to deactivate a personally - owned computer server on the network, accessible on the internet search engines",3,5,"lack of technical safeguards, deactivate a personally-owned computer server",Clinical information (e.g. medical records),Investigation: (hire third parties for) security investigation,"Physical safeguards improvement: workstations with ePHI, Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Upgrades of current systems, Assurance to OCR of the corrective actions"
904,Subcontractors,Theft,"""stolen""",5,2,"""stolen""","Names, dates, or physical addresses, Social Security Numbers, Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Compensation: credit monitoring, Compensation: website for information","Physical safeguards improvement: new policies, Technical safeguards improvement: new policies, Obtaining/requesting/assisting of BA's compliance",Upgrades of current systems
904,Subcontractors,Theft,"unecrypted, stolen",4,2,"unecrypted, stolen, stored a database","Names, dates, or physical addresses, Social Security Numbers, Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Compensation: credit monitoring, Compensation: website for information","Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: encryption of ePHI or devices with ePHI, Prohibit contractors from storing PHI","Train employees (of the new polices and/or procedures), Upgrades of current systems, Assurance to OCR of the corrective actions"
904,Business Associate (BA),Theft,"""stolen""",1,1,"""Car containing unencrypted laptop was stolen""","Names, dates, or physical addresses, Social Security Numbers, Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to the media, Compensation: credit monitoring, Compensation: website for information","Technical safeguards improvement: encryption of ePHI or devices with ePHI, Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures, Obtaining/requesting/assisting of BA's compliance","Upgrades of current systems, Assurance to OCR of the corrective actions"
907,"The CE, Business Associate (BA), Subcontractors",Loss,"""lost in transit""",2,4,"""lost in transit""","Names, dates, or physical addresses, Social Security Numbers, Clinical information (e.g. medical records), Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Directed BA to change shipping procedures","Physical safeguards improvement: encryption of physical documents, Physical safeguards improvement: new procedures, Obtaining/requesting/assisting of BA's compliance","Upgrades of current systems, Assurance to OCR of the corrective actions"
907,Business Associate (BA),Loss,lost in transit,1,5,lost,"Names, dates, or physical addresses, Social Security Numbers, Clinical information (e.g. medical records), Other identification information (e.g., patient account number)",Sanction: BA or subcontractor,Technical safeguards improvement: encryption of ePHI or devices with ePHI,"Hire/organize a team to ensure compliance, Assurance to OCR of the corrective actions"
907,Business Associate (BA),Loss,Data were lost in transit,1,5,Lost while in transit,"Names, dates, or physical addresses, Social Security Numbers, Clinical information (e.g. medical records), Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to the media","Disposal: proper disposal of electronic documents, Physical safeguards improvement: workstations with ePHI, Physical safeguards improvement: encryption of physical documents, Physical safeguards improvement: new procedures, Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: encryption of ePHI or devices with ePHI, Technical safeguards improvement: anti-virus software or procedures, Technical safeguards improvement: new procedures","Hire/organize a team to ensure compliance, Comprehensive security audit for other improper uses or vulnerbalities"
913,The CE,Unauthorized Access/Disclosure,billing statements were sent to wrong patients,1,5,Sent to wrong patients,"Names, dates, or physical addresses, Social Security Numbers, Clinical information (e.g. medical records), Other identification information (e.g., patient account number), Dollar amount, general description of services","Notification: to affected individuals, Notification: to HHS, Notification: to the media","Disposal: proper disposal of physical documents, Physical safeguards improvement: new procedures","Upgrades of current systems, Assurance to OCR of the corrective actions"
913,"The CE, Employee(s) of the CE",Unauthorized Access/Disclosure,sent to the wrong patients,1,5,sent to the wrong patients,"Names, dates, or physical addresses, Social Security Numbers, Financial information (e.g. credit card number), Clinical information (e.g. medical records), health insurance plans, subscriber numbers","Notification: to affected individuals, Notification: to HHS, Notification: to the media","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures, Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Upgrades of current systems"
913,The CE,Unauthorized Access/Disclosure,Sent to wrong patients,1,5,Sent to wrong patients,"Names, dates, or physical addresses, Social Security Numbers, Financial information (e.g. credit card number), Clinical information (e.g. medical records)","Notification: to affected individuals, Notification: to HHS, Notification: to the media","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Upgrades of current systems, Assurance to OCR of the corrective actions"
934,"The CE, Employee(s) of the CE",Theft,"""car was broken into and a tote bag was stolen""",5,2,"""employee's car was broken into""","Names, dates, or physical addresses, Social Security Numbers, Clinical information (e.g. medical records)","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Compensation: call center for questions, Compensation: credit monitoring, Retraining or memorandum to corresponding staff (existing policies/procedures)","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures","Upgrades of current systems, Assurance to OCR of the corrective actions, Comprehensive security audit for other improper uses or vulnerbalities"
934,Employee(s) of the CE,Theft,"broken into, stolen",5,5,"broken into, stolen","Names, dates, or physical addresses, Social Security Numbers, Clinical information (e.g. medical records), race","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Compensation: call center for questions, Compensation: credit monitoring","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures, Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures, Installed video cameras in the parking deck","Hire/organize a team to ensure compliance, Train employees (of the new polices and/or procedures), Upgrades of current systems"
